2025-12-20 21:37:44,402 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0001013243.json
2025-12-20 21:37:44,726 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0001655075.json
2025-12-20 21:37:45,062 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000007431.json
2025-12-20 21:37:45,397 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0001498301.json
2025-12-20 21:37:45,726 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0001113836.json
2025-12-20 21:37:46,059 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0001506545.json
2025-12-20 21:37:46,394 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000929994.json
2025-12-20 21:37:46,726 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000909326.json
2025-12-20 21:37:47,064 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0001020620.json
2025-12-20 21:37:47,393 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0001113527.json
2025-12-20 21:37:47,727 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000898904.json
2025-12-20 21:37:48,059 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000911115.json
2025-12-20 21:37:48,396 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0001035423.json
2025-12-20 21:37:48,726 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0001135185.json
2025-12-20 21:37:49,059 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0001532750.json
2025-12-20 21:37:49,393 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0001123647.json
2025-12-20 21:37:49,726 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0001005015.json
2025-12-20 21:37:50,059 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0001060024.json
2025-12-20 21:37:50,393 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0001097081.json
2025-12-20 21:37:50,726 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000913364.json
2025-12-20 21:37:51,060 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000074783.json
2025-12-20 21:37:51,392 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000937971.json
2025-12-20 21:37:51,726 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000883702.json
2025-12-20 21:37:52,059 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0001017648.json
2025-12-20 21:37:52,392 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000030841.json
2025-12-20 21:37:52,726 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000796486.json
2025-12-20 21:37:53,059 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0001078420.json
2025-12-20 21:37:53,392 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000876320.json
2025-12-20 21:37:53,726 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000096638.json
2025-12-20 21:37:54,059 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0000002852.json
2025-12-20 21:37:54,392 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0001337913.json
2025-12-20 21:37:54,726 | DEBUG | EdgarAsyncClient | GET https://data.sec.gov/api/xbrl/companyfacts/CIK0001058703.json
